Date;Sales;Season;Kalendar;Week-of-Month;Competitor spending;Salgdage;Unemployment rate;Tracking;Tracking-smoothed;Respons Media;Sol-Oslo;Oslo - Mean temperature;Oslo - Total precipitation;Bergen - Mean temperature;Bergen - Total precipitation;Print;InStore;DirectMarketing;RADIO;TV Taktisk;TV Image
2006-28;13317074.81;12601193.24;Normal;3;14.03738187;60;2.569312169;36;39.71428571;2856176.73;68.43333333;15.4;30.6;12.57142857;90.7;644254;1813;0;0;0;0
2006-29;9859579.38;10135124.81;Normal;4;13.78897564;60;2.547089947;38;39.2;2135729.378;68.55;18.02857143;0;15.11428571;28.7;360369;1813;0;0;0;0
2006-30;8793926.2;9892568.77;Normal;5;13.41797985;60;2.522222222;38.4;38.74285714;1591712.72;68.85;19.37142857;6;17.37142857;8.8;244252;1813;0;0;0;0
2006-31;12707142.21;9898061.919;Normal;1;13.30719126;60;2.507407407;42.8;39.32290249;1187809.559;77.46666667;18.75714286;25.4;16.87142857;23.9;222670;9577;182262;0;0;0
2006-32;11280584.86;10325000;Normal;2;13.33411919;60;2.492592593;38.8;40.06575964;904979.7575;39.36666667;17.37142857;17.9;14.5;16.4;381274;10871;212639;0;0;0
2006-33;11245587.36;11659251.61;Normal;3;13.77672927;60;2.477777778;38.8;40.75147392;944137.2577;29.93333333;15.35;41.9;15.07142857;27.5;366305;10871;212639;103520;0;0
2006-34;9782378.5;10684033.27;Normal;4;13.90847701;60;2.462962963;42.46031746;42.23718821;2579350.825;32.51666667;15.95714286;17.1;15.81428571;22.4;732535;10871;212639;0;828082;0
2006-35;17954366.55;11535073.1;Normal;1;13.87598931;60;2.446031746;41.2;41.35249433;3780060.438;42.11666667;13.14285714;49.1;13.48571429;53.8;2715190;7013;305633;0;1054350;0
2006-36;12240834.63;12475347.12;Normal;2;13.8837434;70;2.427513228;42.8;42.46255106;3021857.3;59.38333333;11.41428571;4.7;11.9;49.9;648826;1869;429625;0;583307;0
2006-37;13691349.81;13096934.19;Normal;3;13.9680233;60;2.408994709;48.8;42.11969392;4336143.265;37.33333333;12.72857143;0;14.17142857;4.7;612512;1869;429625;0;1265767;0
2006-38;12632105.31;10489311.04;Normal;4;14.21677932;60;2.39047619;36.60714286;41.71107714;5155216.551;19.73333333;14.08571429;4.1;15.05714286;75.2;2823110;1869;429625;0;1919978;0
2006-39;15916553.76;10239850.48;Normal;1;14.37228685;60;2.377248677;46.57039711;41.82536285;4020999.897;22.18333333;13.34285714;46.2;13.55714286;84.9;931909;2060;402909;0;467891;0
2006-40;10743498.73;11720159.01;Normal;2;14.26940537;60;2.358730159;36.4;41.48250571;5127061.805;16.28333333;10.71428571;57.8;10.75714286;83.5;778056;3206;242613;0;1166929;0
2006-41;13981566.54;11615159.01;Normal;3;14.28432308;69;2.34021164;39.6;38.91107714;5675994.297;29.45;7.814285714;12.5;9.942857143;22.2;2675888;3206;242613;0;1050562;0
2006-42;12409520.14;13254794.63;Normal;4;14.02263876;60;2.321693122;42;38.36719959;4172660.114;0.016666667;7.3;25.8;10.2;66.7;362221;3206;242613;0;0;0
2006-43;12195745.5;15186015.88;Normal;5;14.27597501;60;2.298941799;40.4;36.51428571;3124708.335;15.71666667;4.2;21;7.2;56.3;611655;3206;242613;0;0;0
2006-44;15600253.08;12666070.6;Normal;1;13.95824356;60;2.276190476;30.8;36.97142857;4385726.16;29.61666667;-0.371428571;19.1;5.8;138.2;567696;3276;161973;0;1069284;0
2006-45;11808300.62;11914229.38;Normal;2;13.86849916;60;2.253968254;32.8;36.8;5047411.25;21.78333333;2.142857143;11;5.971428571;109.9;2534025;3304;129717;0;920964;0
2006-46;12905773.87;12317543.11;Normal;3;13.29809628;60;2.231746032;33.6;37.14285714;3740776.288;0;3.428571429;46.4;6.128571429;145.6;531358;3304;129717;0;0;0
2006-47;10310053.65;11332649.34;Normal;4;13.42594376;62;2.207407407;39.6;38.4;3342126.807;0;5.385714286;79.3;8.314285714;75.4;557063;3304;129717;0;0;1696775
2006-48;14362920.12;8708949.193;Normal;1;12.89053806;60;2.186243386;38.4;41.48571429;3205543.331;4;6.128571429;7.5;8.714285714;126.7;942939;3262;74124;0;0;1209032
2006-49;10464012.2;8979708.626;Normal;2;13.18435846;60;2.171428571;44.4;42.62857143;4148683.847;2.133333333;5.285714286;41.5;6.271428571;160.3;655868;3206;0;0;0;1475258
2006-50;11704624.18;11573022.88;Normal;3;12.93642995;61;2.156613757;49.2;44;3618523.265;20.45;3.142857143;12.9;6.571428571;150.2;816392;3206;0;0;0;1302679
2006-51;8455470.14;10038323.85;1.christmas;4;13.23529882;60;2.141269841;52.4;43.88571429;3180700.105;7.966666667;-1.557142857;0;6.828571429;81.9;534675;3206;0;0;0;1380524
2006-52;7182825.16;7109045.797;2.christmas;5;12.19452085;36;2.123809524;40.8;43.67825588;2333627.589;14.21666667;-0.971428571;11.7;5.357142857;32.3;221328;3206;0;0;0;0
2007-01;2995214.34;6049692.249;Newyear;1;13.02307485;49;2.112698413;43.2;44.07825588;1715511.8;2.583333333;1.442857143;23.7;5.414285714;121.1;163648;2786;0;0;0;0
2007-02;7092855.18;6992272.989;Normal;2;13.05006386;60;2.101587302;38.8;43.55890104;1309321.056;9.05;2.8;25.3;4.5;142;500965;2786;0;0;141750;0
2007-03;13014596.97;8109908.755;Normal;3;13.46772672;60;2.09047619;36.94779116;41.95890104;2941660.407;19.08333333;0.528571429;19.3;3.457142857;72.2;3595773;2786;0;0;821267.382;55497.61799
2007-04;7692820.91;7623157.672;Normal;4;13.33163356;61;2.073015873;47.2;41.84461533;2823091.171;22.96666667;-8.428571429;2.4;-0.542857143;42.6;493737;2786;0;0;0;2081367
2007-05;10424359.82;7486034.845;Normal;1;13.46538344;60;2.057142857;45.56451613;41.2160439;2677029.854;17.06666667;-1.914285714;5;5.242857143;107.2;265243;2954;69860;0;0;1761463
2007-06;9167342.82;8904852.853;Normal;2;13.18560306;60;2.042328042;41.2;41.90175818;2528081.538;15.73333333;-7.2;6.9;-3.914285714;15.7;527613;3080;122255;0;0;1178287
2007-07;8454673.94;6933014.231;Normal;3;13.67230598;60;2.027513228;40;42.36073696;3411067.267;1.583333333;-1.657142857;7.6;3.285714286;37.3;1100522;3080;122255;0;0;0
2007-08;10032331.33;8035026.18;Normal;4;13.42112196;60;2.014285714;38.8;42.64645124;3032933.273;1.733333333;-6.357142857;12.3;1.942857143;4.2;788288;3080;122255;0;0;1040359
2007-09;9672960.85;8470026.18;Normal;1;13.82268438;60;2.003174603;43.6;41.90866322;2761086.684;2.083333333;-0.214285714;11.8;3.485714286;28.8;655504;2912;235191;0;0;1247833
2007-10;9801469.04;8467614.582;Normal;2;13.51972618;60;1.992063492;40.16064257;41.90866322;3215142.028;7.1;2.428571429;19.8;6.857142857;72.1;488858;2786;319893;0;0;0
2007-11;9148359.56;8586927.793;Normal;3;13.95676841;61;1.980952381;49.2;42.25152037;2846499.901;30.3;4.571428571;5.2;5.585714286;166.7;692871;2786;319893;0;0;1250089
2007-12;10690392.45;9797220.436;Normal;4;14.06716721;71;1.971428571;40.4;43.33723465;2819677.633;56.8;4.671428571;0.6;5.071428571;9.6;1097894;80983;319893;0;0;901726
2007-13;16876976.49;7598088.732;Palmes¿ndag;1;14.43620245;67;1.971428571;41.2;42.82294894;5445680.233;83.4;7.142857143;0;7.585714286;0;3639242;80995;307482;145044;862484;0
2007-14;7094982.69;7144988.18;1.easter;2;14.11374461;44;1.964021164;42.4;42.85714286;4785790.478;61.1;4.785714286;0;4.071428571;8.6;1865439;2870;233016;0;531844;0
2007-15;10971408.96;8246382.293;2.easter;3;14.40452753;65;1.956613757;46.4;41.31428571;3897456.739;66.5;8.228571429;13.7;9.4;68;452599;2870;233016;0;0;894893
2007-16;11622134.54;9321535.847;Normal;4;14.22569438;66;1.949206349;40;41.65714286;3865158.989;62.6;6.542857143;4.2;5.828571429;52.4;1018899;2870;233016;87493;0;1109520
2007-17;12136838.35;8920000;Normal;5;14.79707575;66;1.939153439;40.4;41.6;6277500.529;37.9;10.38571429;31.2;11.57142857;52.1;4063211;755663;233016;0;2090772.459;392069.5407
2007-18;18308247.16;9007072.045;Normal;1;14.18421553;55;1.932275132;38.4;41.42857143;5336078.557;76;11.65714286;3.8;10.08571429;0;758017;2798;323778;44385;51372.87611;1054367.124
2007-19;13726853.66;9842072.045;Normal;2;14.56532278;66;1.928571429;42.8;40.4;4777185.651;45.7;9.371428571;17.4;7.542857143;87.2;1000576;2786;338905;44385;0;1131173
2007-20;12277436.92;11180000;Nationalday;3;14.17324041;55;1.924867725;40.8;40.57142857;3928285.054;44.8;9.771428571;31.4;8.528571429;46.5;696611;2786;338905;0;0;967173
2007-21;13047031.58;12404284.49;1.pinse;4;14.67976328;66;1.919047619;41.2;39.82354788;6185263.735;55;12.02857143;1.1;10.04;45;4379222;1508372;338905;0;2108291;0
2007-22;17838500.69;13245593.86;2.pinse;1;14.10920099;55;1.91005291;39.2;39.99821095;5384439.412;27.5;12.78571429;64.3;15.45714286;3.1;846207;2510;290797;44385;0;1270599
2007-23;15853658.17;12012162.01;Normal;2;14.20060476;77;1.902645503;41.2;40.51249667;4496902.046;101.7;21.57142857;0;19.88571429;0;959528;2142;226653;0;0;832888
2007-24;15541272.37;13561082.71;Normal;3;14.25343463;66;1.895238095;35.16483516;40.85535381;5131923.291;81.1;15.64285714;0.8;13.57142857;0.5;635686;2142;226653;0;764978;0
2007-25;14371737.43;14163478.13;Normal;4;14.82264635;66;1.887830688;39.62264151;40.68392524;5817777.769;47.1;16.07142857;67;15.91428571;21.8;4049450;2142;226653;0;1077461;0
2007-26;18668886.38;14143477.98;Normal;1;14.64958808;67;1.877248677;46.4;40.87853224;5051770.171;28;16.04285714;37.4;14.74285714;1.5;1121680;2132;194274;0;0;1135730
2007-27;13334540.62;11227632.99;Normal;2;14.31271819;66;1.86984127;43.2;40.24996081;4730131.579;21.9;16.94285714;54.9;17.65714286;5.3;872541;2072;0;0;894144;0
2007-28;15361650.22;12601193.24;Normal;3;13.86563791;77;1.862433862;40;40.54069864;4094493.646;19.3;15.22857143;87.1;12.91428571;103.3;911463;2072;0;0;665260;0
2007-29;10954604.76;10135124.81;Normal;4;13.88007999;67;1.855026455;40.562249;40.51492572;3475438.393;40.3;16.31428571;18.5;15.2;38.4;752123;2072;0;29590;542649;0
2007-30;11026917.79;9892568.77;Normal;5;13.6404671;66;1.845502646;36.8;39.82921144;3070325.828;29.5;16.08571429;16.3;14.48571429;82.7;401005;2072;0;29590;0;742874
2007-31;15406826.04;9898061.919;Normal;1;13.87424557;67;1.840740741;37.2;38.34349715;3424527.515;40.8;16.14285714;11.7;13.31428571;68.1;1441677;3552;240695;84552;0;745253
2007-32;12768245.9;10325000;Normal;2;13.86705491;66;1.837037037;39.44223108;37.94349715;3040765.59;34.4;19.97142857;32.6;16.51428571;28.7;481457;4144;336973;29590;0;919945
2007-33;14745706.52;11659251.61;Normal;3;14.13328135;66;1.833333333;41.6;38.94889015;2947046.136;29.7;15.38571429;20.2;13.18571429;159.9;776975;4144;336973;0;689622.7687;307250.2313
2007-34;15358171.24;10684033.27;Normal;4;14.46108394;66;1.82962963;32.8;38.54889015;5921802.065;76.2;17.91428571;0.7;14.82857143;43.8;4064709;4144;336973;30868;1578343.322;477247.6779
2007-35;17501257.69;11535073.1;Normal;1;14.04826114;66;1.824338624;37.2;38.86920888;5071495.983;49.5;11.34285714;1.7;10.52857143;102.5;656812;4184;346861;39950;0;1705013
2007-36;13334612.02;12475347.12;Normal;2;14.13123559;66;1.816931217;47.6;39.12031873;4668593.39;57;13.05714286;0.7;11.17142857;65.8;1199383;4284;371581;16038;0;1659112
2007-37;15366655.29;13096934.19;Normal;3;14.10647403;66;1.80952381;34;38.77746158;5792824.89;56.5;11.2;11.4;10.27142857;105.9;1025012;4284;371581;16038;1299679;0
2007-38;14686592.3;10489311.04;Normal;4;14.25176058;66;1.802116402;39.44223108;39.74889015;6476103.603;29.6;9.142857143;24.6;9.485714286;74.9;3509616;46984;371581;16038;966202.6955;299913.3045
2007-39;19356782.45;10239850.48;Normal;1;14.32045896;81;1.799470899;41.2;39.2917473;6019972.24;29.9;10.31428571;27.8;9.957142857;79.1;1608836;46984;371581;80631;0;862671
2007-40;14377067.39;11720159.01;Normal;2;14.47535876;72;1.788359788;39.2;37.80603301;5144099.024;44.3;9.128571429;3.2;9.771428571;8.3;1094148;4144;255570;16038;0;814102
2007-41;16845590.74;11615159.01;Normal;3;14.16488897;72;1.777248677;39.6;39.12031873;4759329.688;38.6;6.242857143;4.8;8.242857143;41.9;1063554;4144;255570;31614;0;1477999
2007-42;19185263.11;13254794.63;Normal;4;14.12883443;72;1.766137566;34;40.34285714;5824570.09;29.8;7.014285714;0.1;8.171428571;49.5;1164532;4144;255570;16038;836296;0
2007-43;14936621.65;15186015.88;Normal;5;14.22082582;72;1.753439153;37.2;40.28571429;6446171.264;15.7;5.728571429;2.3;9.614285714;52;4712930;4144;255570;16038;1202708;0
2007-44;12663927.07;12666070.6;Normal;1;14.01619004;71;1.741269841;43.2;39.42857143;5354655.507;32.1;5.185714286;6.3;6.342857143;162.8;881573;4224;357318;44978;391847.9409;463476.0591
2007-45;10108992.5;11914229.38;Normal;2;14.01703912;72;1.73015873;48;40.17142857;6144928.792;24.4;2.542857143;39.4;4.014285714;107.5;807146;4284;433629;16038;1143764;0
